PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Delbrugger, T; Lenz, LT; Losch, D; Rossmann, J			IEEE	Delbruegger, Tim; Lenz, Lisa Theresa; Losch, Daniel; Rossmann, Juergen			A Navigation Framework for Digital Twins of Factories based on Building Information Modeling	2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 12-15, 2017	Limassol, CYPRUS	IEEE, ABB, ies, Univ Cyprus, Dept Elect Comp Engn																						1946-0740		978-1-5090-6505-9				2017																		WOS:000427812000147						
J	Ito, K				Ito, Kazuhide			Change beyond building information modeling to a "Digital Twin" in architecture	JAPAN ARCHITECTURAL REVIEW																														2475-8876					OCT	2019	2	4					391	391		10.1002/2475-8876.12123								WOS:000489627500001						
J	Mannino, A; Dejaco, MC; Cecconi, FR				Mannino, Antonino; Dejaco, Mario Claudio; Cecconi, Fulvio Re			Building Information Modelling and Internet of Things Integration for Facility Management-Literature Review and Future Needs	APPLIED SCIENCES-BASEL																	Dejaco, Mario Claudio/X-3199-2019; Fulvio, Re Cecconi/T-1438-2018	Dejaco, Mario Claudio/0000-0001-6804-4032; Fulvio, Re Cecconi/0000-0001-7716-8854; Mannino, Antonino/0000-0002-0371-8021													2076-3417				APR	2021	11	7							3062	10.3390/app11073062								WOS:000638313800001						
J	Jiang, F; Ma, L; Broyd, T; Chen, K				Jiang, Feng; Ma, Ling; Broyd, Tim; Chen, Ke			Digital twin and its implementations in the civil engineering sector	AUTOMATION IN CONSTRUCTION																	Ma, Ling/F-6641-2010	Ma, Ling/0000-0002-9187-471X												0926-5805	1872-7891				OCT	2021	130								103838	10.1016/j.autcon.2021.103838								WOS:000686331400002						
J	Oettinghaus, S				Oettinghaus, Sven			Digital construction with Building Information Modeling - the digital twin	WASSERWIRTSCHAFT																														0043-0978						2019	109	5					86	89		10.1007/s35147-019-0053-3								WOS:000466837800019						
J	Babalola, A; Musa, S; Akinlolu, MT; Haupt, TC				Babalola, Ayotunde; Musa, Shamsudeen; Akinlolu, Mariam Temisola; Haupt, Theo C.			A bibliometric review of advances in building information modeling (BIM) research	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																														1726-0531																10.1108/JEDT-01-2021-0013		MAR 2021						WOS:000626744400001						
J	Huynh, D; Nguyen-Ky, S				Huynh, Dat; Nguyen-Ky, Sy			Engaging Building Automation Data Visualisation Using Building Information Modelling and Progressive Web Application	OPEN ENGINEERING																	Nguyen-Ky, Sy/AAV-6337-2021	Nguyen-Ky, Sy/0000-0001-5258-9783												2391-5439					JUN 10	2020	10	1					434	442		10.1515/eng-2020-0054								WOS:000545316400001						
C	Jakobi, M; Kunath, L; Witzig, A		Haberle, A		Jakobi, Marc; Kunath, Lars; Witzig, Andreas			BIM Use-Case: Model-Based Performance Optimization	PROCEEDINGS OF THE ISES EUROSUN 2018 CONFERENCE - 12TH INTERNATIONAL CONFERENCE ON SOLAR ENERGY FOR BUILDINGS AND INDUSTRY					12th International Conference on Solar Energy for Buildings and Industry (ISES EuroSun)	2018	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil, Rapperswil, SWITZERLAND	Hoval, Polysun, Absolicon, Jinko Solar, Solar Technologie Int, Energiestadt Rapperswil Jona, Vogelin Energie & Solartechnik Gmbh, Swissolar, Int Solar Energy Soc	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil																							978-3-9820408-0-6				2018							1395	1402		10.18086/eurosun2018.11.07								WOS:000475550900146						
J	Flora, M; Froch, G; Gachter, W				Flora, Matthias; Froech, Georg; Gaechter, Werner			Optimization of construction management in underground construction using digital infrastructure information models	BAUTECHNIK																														0932-8351	1437-0999				NOV	2020	97	11					780	788		10.1002/bate.201900095		MAR 2020						WOS:000566003400001						
C	Trento, A; Wurzer, G; Coraglia, UM		Sousa, JP; Henriques, GC; Xavier, JP		Trento, Armando; Wurzer, Gabriel; Coraglia, Ugo Maria			A Digital Twin for Directing People Flow in Preserved Heritage Buildings	ECAADE SIGRADI 2019: ARCHITECTURE IN THE AGE OF THE 4TH INDUSTRIAL REVOLUTION, VOL 1					37th Conference on Education-and-Research-in-Computer-Aided-Architectural-Design-in-Europe (eCAADe) / 23rd Conference of the Iberoamerican-Society-Digital-Graphics (SIGraDi)	SEP 11-13, 2019	Univ Porto, Fac Architecture, Porto, PORTUGAL	Iberoamerican Soc Digital Graph, Autodesk, Graphisoft Archicad, Dassault Systemes, Bentley Inst, Educ & Res Comp Aided Architectural Design Europe, ACADIA, CAADRIA, ASCAAD, CAAD Futures	Univ Porto, Fac Architecture																							978-94-91207-17-4				2019							561	568										WOS:000562928600062						
C	Wan, H; David, M; Derigent, W				Wan, H.; David, M.; Derigent, W.			Design of a Multi-Agent System for exploiting the communicating concrete in a SHM/BIM context	IFAC PAPERSONLINE					4th International-Federation-of-Automatic-Control (IFAC) Workshop on Advanced Maintenance Engineering, Services and Technologies (AMEST)	SEP 10-11, 2020	Cambridge, ENGLAND	Int Federat Automat Control, Int Federat Automat Control Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control Tech Comm 5 3 Enterprise Integrat & Networking, Univ Cambridge, Ctr Digital Built Britain, Construct Innovat Hub, Int Federat Automat Control Tech Comm 6 4																						2405-8963						2020	53	3					372	379		10.1016/j.ifacol.2020.11.060								WOS:000600770000063						
C	Gray, FM; Dibowski, H; Gall, J; Braun, S			IEEE	Gray, Francesco Massa; Dibowski, Henrik; Gall, Jan; Braun, Sven			Occupant Feedback and Context Awareness: On the Application of Building Information Modeling and Semantic Technologies for Improved Complaint Management in Commercial Buildings	2020 25TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 08-11, 2020	Vienna, AUSTRIA	Inst Elect & Elect Engineers, IEEE Ind Elect Soc, TU Wien, Inst Comp Technol																						1946-0740	1946-0759	978-1-7281-8956-7				2020							101	108										WOS:000627406500012						
J	Shahinmoghadam, M; Natephra, W; Motamedi, A				Shahinmoghadam, Mehrzad; Natephra, Worawan; Motamedi, Ali			BIM- and IoT-based virtual reality tool for real-time thermal comfort assessment in building enclosures	BUILDING AND ENVIRONMENT																		Shahinmoghadam, Mehrzad/0000-0003-1988-7257; Motamedi, Ali/0000-0002-7012-440X												0360-1323	1873-684X				JUL 15	2021	199								107905	10.1016/j.buildenv.2021.107905								WOS:000663461300005						
J	Wedel, F; Opitz, D; Tiedemann, C; Meyer-Westphal, M				Wedel, Frederik; Opitz, Daniel; Tiedemann, Christoph; Meyer-Westphal, Markus			The 3-D model as the basis of the digital twin	BAUTECHNIK																														0932-8351	1437-0999															10.1002/bate.202100092		JAN 2022						WOS:000747296200001						
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Badenko, VL; Bolshakov, NS; Tishchenko, EB; Fedotov, AA; Celani, AC; Yadykin, VK				Badenko, V. L.; Bolshakov, N. S.; Tishchenko, E. B.; Fedotov, A. A.; Celani, A. C.; Yadykin, V. K.			Integration of digital twin and BIM technologies within factories of the future	MAGAZINE OF CIVIL ENGINEERING																		CELANI, ALBERTO/0000-0002-5980-958X												2712-8172	2071-0305					2021	101	1							10114	10.34910/MCE.101.14								WOS:000643594900013						
J	Akbarieh, A; Jayasinghe, LB; Waldmann, D; Teferle, FN				Akbarieh, Arghavan; Jayasinghe, Laddu Bhagya; Waldmann, Daniele; Teferle, Felix Norman			BIM-Based End-of-Lifecycle Decision Making and Digital Deconstruction: Literature Review	SUSTAINABILITY																	Waldmann, Daniele/E-4016-2017	Waldmann, Daniele/0000-0002-8345-0474; Akbarieh, Arghavan/0000-0001-6422-6779; Jayasinghe, Bhagya/0000-0003-3705-0653; Teferle, Felix Norman/0000-0002-9132-3571													2071-1050				APR	2020	12	7							2670	10.3390/su12072670								WOS:000531558100095						
C	Jouan, P; Hallot, P		GonzalezAguilera, D; Remondino, F; Toschi, I; RodriguezGonzalvez, P; Stathopoulou, E		Jouan, P.; Hallot, P.			DIGITAL TWIN: A HBIM-BASED METHODOLOGY TO SUPPORT PREVENTIVE CONSERVATION OF HISTORIC ASSETS THROUGH HERITAGE SIGNIFICANCE AWARENESS	27TH CIPA INTERNATIONAL SYMPOSIUM: DOCUMENTING THE PAST FOR A BETTER FUTURE	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				27th CIPA International Symposium on Documenting the Past for a Better Future	SEP 01-05, 2019	Avila, SPAIN	ISPRS, CIPA									Jouan, Pierre/AAC-7072-2021	Jouan, Pierre/0000-0003-1784-8895												1682-1750	2194-9034					2019	42-2	W15					609	615		10.5194/isprs-archives-XLII-2-W15-609-2019								WOS:000583155100082						
J	Liu, ZS; Zhang, AS; Wang, WS				Liu, Zhansheng; Zhang, Anshan; Wang, Wensi			A Framework for an Indoor Safety Management System Based on Digital Twin	SENSORS																		Liu, Zhansheng/0000-0002-4251-5702													1424-8220				OCT	2020	20	20							5771	10.3390/s20205771								WOS:000585689300001	33053719					
J	Zhu, JX; Wu, P				Zhu, Junxiang; Wu, Peng			Towards Effective BIM/GIS Data Integration for Smart City by Integrating Computer Graphics Technique	REMOTE SENSING																	Zhu, Junxiang/AAX-4418-2020	Zhu, Junxiang/0000-0002-9828-5168; wu, peng/0000-0002-3793-0653													2072-4292				MAY	2021	13	10							1889	10.3390/rs13101889								WOS:000662576800001						
J	Pan, Y; Zhang, LM				Pan, Yue; Zhang, Limao			A BIM-data mining integrated digital twin framework for advanced project management	AUTOMATION IN CONSTRUCTION																	Zhang, Limao/A-1320-2016													0926-5805	1872-7891				APR	2021	124								103564	10.1016/j.autcon.2021.103564								WOS:000623400100003						
J	Tahmasebinia, F; Fogerty, D; Wu, LO; Li, ZC; Sepasgozar, SME; Zhang, K; Sepasgozar, S; Marroquin, FA				Tahmasebinia, Faham; Fogerty, Daniel; Wu, Lang Oliver; Li, Zhichao; Sepasgozar, Saleh Mohammad Ebrahimzadeh; Zhang, Kai; Sepasgozar, Samad; Marroquin, Fernando Alonso			Numerical Analysis of the Creep and Shrinkage Experienced in the Sydney Opera House and the Rise of Digital Twin as Future Monitoring Technology	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111; Tahmasebinia, Faham/0000-0002-0730-2998													2075-5309				JUN	2019	9	6							137	10.3390/buildings9060137								WOS:000475295500002						
J	Moretti, N; Xie, X; Merino, J; Brazauskas, J; Parlikad, AK				Moretti, Nicola; Xie, Xiang; Merino, Jorge; Brazauskas, Justas; Parlikad, Ajith Kumar			An openBIM Approach to IoT Integration with Incomplete As-Built Data	APPLIED SCIENCES-BASEL																	Moretti, Nicola/T-1347-2018	Moretti, Nicola/0000-0002-7197-8677; Xie, Xiang/0000-0003-4601-9519; Brazauskas, Justas/0000-0002-6795-5245													2076-3417				NOV	2020	10	22							8287	10.3390/app10228287								WOS:000594190600001						
J	Chen, C; Zhao, ZF; Xiao, JZ; Tiong, R				Chen, Chen; Zhao, Zengfeng; Xiao, Jianzhuang; Tiong, Robert			A Conceptual Framework for Estimating Building Embodied Carbon Based on Digital Twin Technology and Life Cycle Assessment	SUSTAINABILITY																															2071-1050				DEC	2021	13	24							13875	10.3390/su132413875								WOS:000737332500001						
J	Gurevich, U; Sacks, R				Gurevich, Ury; Sacks, Rafael			Longitudinal Study of BIM Adoption by Public Construction Clients	JOURNAL OF MANAGEMENT IN ENGINEERING																		Gurevich, Ury/0000-0003-1559-4676												0742-597X	1943-5479				JUL 1	2020	36	4							05020008	10.1061/(ASCE)ME.1943-5479.0000797								WOS:000536120800013						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Kubicki, Sylvain/I-6965-2019; Rezgui, Yacine/ABE-6712-2020	Kubicki, Sylvain/0000-0003-2985-0378; Rezgui, Yacine/0000-0002-5711-8400; Guerriero, Annie/0000-0002-8804-1995; Boje, Calin/0000-0002-5150-9355												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Kaewunruen, S; Rungskunroch, P; Welsh, J				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Welsh, Joshua			A Digital-Twin Evaluation of Net Zero Energy Building for Existing Buildings	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538												2071-1050					JAN 1	2019	11	1							159	10.3390/su11010159								WOS:000457127300159						
J	Villa, V; Naticchia, B; Bruno, G; Aliev, K; Piantanida, P; Antonelli, D				Villa, Valentina; Naticchia, Berardo; Bruno, Giulia; Aliev, Khurshid; Piantanida, Paolo; Antonelli, Dario			IoT Open-Source Architecture for the Maintenance of Building Facilities	APPLIED SCIENCES-BASEL																		VILLA, VALENTINA/0000-0003-3903-8922; Antonelli, Dario/0000-0002-0118-0424; Bruno, Giulia/0000-0001-5585-647X; PIANTANIDA, PAOLO/0000-0001-5624-4977													2076-3417				JUN	2021	11	12							5374	10.3390/app11125374								WOS:000666052700001						
